list_size,base_case_size,k_merge_type,parallel,time
500000,1,2-way,0,0.9307035540
500000,0,4-way,0,1.0016742900
500000,0,8-way,0,1.0287101220
500000,0,16-way,0,1.1515541710
500000,0,32-way,0,1.5357790780
500000,0,4-way-heap,0,0.7637683630
500000,0,8-way-heap,0,0.7727573670
500000,0,16-way-heap,0,0.8997641470
500000,0,32-way-heap,0,1.0628138360
500000,1,2-way-parallel,1,0.6616187580
500000,0,4-way-parallel,1,0.4963403260
500000,0,8-way-parallel,1,0.6157943410
500000,0,16-way-parallel,1,0.6976450060
500000,0,32-way-parallel,1,0.9907081380
500000,0,4-way-heap-parallel,1,0.4321835070
500000,0,8-way-heap-parallel,1,0.4997791480
500000,0,16-way-heap-parallel,1,0.6782808090
500000,0,32-way-heap-parallel,1,0.9264862650
200000,1,2-way,0,0.2756307330
200000,0,4-way,0,0.2907208710
200000,0,8-way,0,0.3178928320
200000,0,16-way,0,0.4155276100
200000,0,32-way,0,0.5015164100
200000,0,4-way-heap,0,0.2720464230
200000,0,8-way-heap,0,0.2661076570
200000,0,16-way-heap,0,0.3226248230
200000,0,32-way-heap,0,0.4134405940
200000,1,2-way-parallel,1,0.2266928730
200000,0,4-way-parallel,1,0.1741087650
200000,0,8-way-parallel,1,0.2041344100
200000,0,16-way-parallel,1,0.2669863560
200000,0,32-way-parallel,1,0.3770511830
200000,0,4-way-heap-parallel,1,0.1627953250
200000,0,8-way-heap-parallel,1,0.1843868630
200000,0,16-way-heap-parallel,1,0.2405111540
200000,0,32-way-heap-parallel,1,0.3325168430
300000,1,2-way,0,0.5531010870
300000,0,4-way,0,0.4883987610
300000,0,8-way,0,0.5293128410
300000,0,16-way,0,0.6190529910
300000,0,32-way,0,0.7878704440
300000,0,4-way-heap,0,0.4251700220
300000,0,8-way-heap,0,0.4713718400
300000,0,16-way-heap,0,0.5104653180
300000,0,32-way-heap,0,0.6202580330
300000,1,2-way-parallel,1,0.3696681010
300000,0,4-way-parallel,1,0.2651140760
300000,0,8-way-parallel,1,0.3207187980
300000,0,16-way-parallel,1,0.4430692170
300000,0,32-way-parallel,1,0.5768009600
300000,0,4-way-heap-parallel,1,0.2647557330
300000,0,8-way-heap-parallel,1,0.3007735530
300000,0,16-way-heap-parallel,1,0.4136010340
300000,0,32-way-heap-parallel,1,0.5747639270
100,1,2-way,0,0.0000771780
100,0,4-way,0,0.0000914130
100,0,8-way,0,0.0001036190
100,0,16-way,0,0.0001009100
100,0,32-way,0,0.0001395810
100,0,4-way-heap,0,0.0000818700
100,0,8-way-heap,0,0.0000814240
100,0,16-way-heap,0,0.0000679480
100,0,32-way-heap,0,0.0000958350
100,1,2-way-parallel,1,0.0000845150
100,0,4-way-parallel,1,0.0001041760
100,0,8-way-parallel,1,0.0001005700
100,0,16-way-parallel,1,0.0001126270
100,0,32-way-parallel,1,0.0001702110
100,0,4-way-heap-parallel,1,0.0000829680
100,0,8-way-heap-parallel,1,0.0000872090
100,0,16-way-heap-parallel,1,0.0000836310
100,0,32-way-heap-parallel,1,0.0001178450
8000000,1,2-way,0,20.2529173800
8000000,0,4-way,0,18.0602933800
8000000,0,8-way,0,18.8974852240
8000000,0,16-way,0,21.7243459540
8000000,0,32-way,0,28.1559825740
8000000,0,4-way-heap,0,17.0754168790
8000000,0,8-way-heap,0,16.3666828490
8000000,0,16-way-heap,0,18.9418282270
8000000,0,32-way-heap,0,23.0260000860
8000000,1,2-way-parallel,1,15.4346782330
8000000,0,4-way-parallel,1,9.3045843370
8000000,0,8-way-parallel,1,10.6491234320
8000000,0,16-way-parallel,1,13.3895651400
8000000,0,32-way-parallel,1,19.6945055860
8000000,0,4-way-heap-parallel,1,8.7979264990
8000000,0,8-way-heap-parallel,1,9.7337703680
8000000,0,16-way-heap-parallel,1,12.2361286000
8000000,0,32-way-heap-parallel,1,17.0914332640
